"age","sex","category","population"
60,"Naiset","v1990",28
60,"Naiset","v2010",52
60,"Naiset","v2024",70
61,"Naiset","v1990",30
61,"Naiset","v2010",60
61,"Naiset","v2024",71
62,"Naiset","v1990",34
62,"Naiset","v2010",65
62,"Naiset","v2024",65
63,"Naiset","v1990",25
63,"Naiset","v2010",58
63,"Naiset","v2024",54
64,"Naiset","v1990",32
64,"Naiset","v2010",61
64,"Naiset","v2024",49
65,"Naiset","v1990",24
65,"Naiset","v2010",61
65,"Naiset","v2024",53
66,"Naiset","v1990",22
66,"Naiset","v2010",42
66,"Naiset","v2024",53
67,"Naiset","v1990",29
67,"Naiset","v2010",44
67,"Naiset","v2024",45
68,"Naiset","v1990",23
68,"Naiset","v2010",31
68,"Naiset","v2024",54
69,"Naiset","v1990",23
69,"Naiset","v2010",42
69,"Naiset","v2024",49
70,"Naiset","v1990",22
70,"Naiset","v2010",28
70,"Naiset","v2024",46
71,"Naiset","v1990",19
71,"Naiset","v2010",32
71,"Naiset","v2024",57
72,"Naiset","v1990",23
72,"Naiset","v2010",28
72,"Naiset","v2024",60
73,"Naiset","v1990",19
73,"Naiset","v2010",34
73,"Naiset","v2024",52
74,"Naiset","v1990",19
74,"Naiset","v2010",30
74,"Naiset","v2024",43
75,"Naiset","v1990",18
75,"Naiset","v2010",24
75,"Naiset","v2024",42
76,"Naiset","v1990",11
76,"Naiset","v2010",18
76,"Naiset","v2024",56
77,"Naiset","v1990",27
77,"Naiset","v2010",21
77,"Naiset","v2024",46
78,"Naiset","v1990",14
78,"Naiset","v2010",18
78,"Naiset","v2024",48
79,"Naiset","v1990",23
79,"Naiset","v2010",21
79,"Naiset","v2024",39
80,"Naiset","v1990",19
80,"Naiset","v2010",21
80,"Naiset","v2024",31
81,"Naiset","v1990",20
81,"Naiset","v2010",19
81,"Naiset","v2024",24
82,"Naiset","v1990",12
82,"Naiset","v2010",23
82,"Naiset","v2024",19
83,"Naiset","v1990",22
83,"Naiset","v2010",12
83,"Naiset","v2024",28
84,"Naiset","v1990",4
84,"Naiset","v2010",14
84,"Naiset","v2024",15
85,"Naiset","v1990",7
85,"Naiset","v2010",15
85,"Naiset","v2024",30
86,"Naiset","v1990",10
86,"Naiset","v2010",13
86,"Naiset","v2024",15
87,"Naiset","v1990",7
87,"Naiset","v2010",18
87,"Naiset","v2024",20
88,"Naiset","v1990",4
88,"Naiset","v2010",13
88,"Naiset","v2024",15
89,"Naiset","v1990",3
89,"Naiset","v2010",9
89,"Naiset","v2024",10
90,"Naiset","v1990",5
90,"Naiset","v2010",11
90,"Naiset","v2024",10
91,"Naiset","v1990",3
91,"Naiset","v2010",3
91,"Naiset","v2024",4
92,"Naiset","v1990",1
92,"Naiset","v2010",6
92,"Naiset","v2024",3
93,"Naiset","v1990",1
93,"Naiset","v2010",3
93,"Naiset","v2024",5
94,"Naiset","v1990",0
94,"Naiset","v2010",2
94,"Naiset","v2024",4
95,"Naiset","v1990",0
95,"Naiset","v2010",1
95,"Naiset","v2024",4
96,"Naiset","v1990",0
96,"Naiset","v2010",1
96,"Naiset","v2024",4
97,"Naiset","v1990",0
97,"Naiset","v2010",2
97,"Naiset","v2024",1
98,"Naiset","v1990",0
98,"Naiset","v2010",1
98,"Naiset","v2024",0
99,"Naiset","v1990",0
99,"Naiset","v2010",1
99,"Naiset","v2024",2
100,"Naiset","v1990",1
100,"Naiset","v2010",1
100,"Naiset","v2024",0
